M,N,K,Kernel,Threads,PR,PC,SerialTime(s),AvgTime(s),FLOPS,Speedup,Error
1024,1024,3,1,64,2,2,0.005,0.000,1.466176e+10,1.070798e+01,4.596672e-07
1024,1024,3,1,256,2,2,0.005,0.000,1.514111e+10,1.105807e+01,4.596672e-07
1024,1024,3,1,576,2,2,0.005,0.000,1.368230e+10,9.992649e+00,4.596672e-07
1024,1024,3,1,1024,2,2,0.005,0.000,1.358249e+10,9.919754e+00,4.596672e-07
1024,1024,6,1,64,2,2,0.005,0.000,2.919536e+10,1.071202e+01,4.603775e-07
1024,1024,6,1,256,2,2,0.005,0.000,3.019104e+10,1.107735e+01,4.603775e-07
1024,1024,6,1,576,2,2,0.005,0.000,2.967356e+10,1.088748e+01,4.603775e-07
1024,1024,6,1,1024,2,2,0.005,0.000,2.517430e+10,9.236665e+00,4.603775e-07
1024,1024,8,1,64,2,2,0.004,0.000,3.897855e+10,9.017622e+00,4.645238e-07
1024,1024,8,1,256,2,2,0.004,0.000,3.851556e+10,8.910510e+00,4.645238e-07
1024,1024,8,1,576,2,2,0.004,0.000,3.795166e+10,8.780054e+00,4.645238e-07
1024,1024,8,1,1024,2,2,0.004,0.000,3.479575e+10,8.049939e+00,4.645238e-07
1024,1024,20,1,64,2,2,0.006,0.000,9.065206e+10,1.316761e+01,4.517941e-07
1024,1024,20,1,256,2,2,0.006,0.000,9.197930e+10,1.336040e+01,4.517941e-07
1024,1024,20,1,576,2,2,0.006,0.000,9.391887e+10,1.364213e+01,4.517941e-07
1024,1024,20,1,1024,2,2,0.006,0.001,8.371343e+10,1.215975e+01,4.517941e-07
1024,1024,32,1,64,2,2,0.008,0.001,1.340768e+11,1.636498e+01,4.562109e-07
1024,1024,32,1,256,2,2,0.008,0.000,1.412401e+11,1.723932e+01,4.562109e-07
1024,1024,32,1,576,2,2,0.008,0.000,1.381909e+11,1.686714e+01,4.562109e-07
1024,1024,32,1,1024,2,2,0.008,0.001,1.294785e+11,1.580372e+01,4.562109e-07
2048,2048,3,1,64,2,2,0.016,0.001,4.625802e+10,2.867457e+01,6.374970e-07
2048,2048,3,1,256,2,2,0.016,0.001,4.257489e+10,2.639146e+01,6.374970e-07
2048,2048,3,1,576,2,2,0.016,0.001,4.205354e+10,2.606829e+01,6.374970e-07
2048,2048,3,1,1024,2,2,0.016,0.001,3.592989e+10,2.227234e+01,6.374970e-07
2048,2048,6,1,64,2,2,0.018,0.001,9.216708e+10,3.371934e+01,6.368273e-07
2048,2048,6,1,256,2,2,0.018,0.001,9.062244e+10,3.315423e+01,6.368273e-07
2048,2048,6,1,576,2,2,0.018,0.001,8.918810e+10,3.262948e+01,6.368273e-07
2048,2048,6,1,1024,2,2,0.018,0.001,7.312632e+10,2.675327e+01,6.368273e-07
2048,2048,8,1,64,2,2,0.016,0.001,1.282321e+11,2.963992e+01,6.428184e-07
2048,2048,8,1,256,2,2,0.016,0.001,1.170582e+11,2.705717e+01,6.428184e-07
2048,2048,8,1,576,2,2,0.016,0.001,1.117755e+11,2.583610e+01,6.428184e-07
2048,2048,8,1,1024,2,2,0.016,0.001,1.002162e+11,2.316426e+01,6.428184e-07
2048,2048,20,1,64,2,2,0.024,0.001,2.401812e+11,3.488255e+01,6.365835e-07
2048,2048,20,1,256,2,2,0.024,0.001,2.360675e+11,3.428511e+01,6.365835e-07
2048,2048,20,1,576,2,2,0.024,0.001,2.731633e+11,3.967269e+01,6.365835e-07
2048,2048,20,1,1024,2,2,0.024,0.001,2.363109e+11,3.432046e+01,6.365835e-07
2048,2048,32,1,64,2,2,0.033,0.001,3.265154e+11,4.011495e+01,6.351926e-07
2048,2048,32,1,256,2,2,0.033,0.001,3.876769e+11,4.762911e+01,6.351926e-07
2048,2048,32,1,576,2,2,0.033,0.001,3.181917e+11,3.909232e+01,6.351926e-07
2048,2048,32,1,1024,2,2,0.033,0.001,3.884069e+11,4.771880e+01,6.351926e-07
4096,4096,3,1,64,2,2,0.062,0.001,1.108580e+11,6.852643e+01,8.877693e-07
4096,4096,3,1,256,2,2,0.062,0.001,9.187929e+10,5.679483e+01,8.877693e-07
4096,4096,3,1,576,2,2,0.062,0.001,7.983448e+10,4.934938e+01,8.877693e-07
4096,4096,3,1,1024,2,2,0.062,0.002,6.247464e+10,3.861846e+01,8.877693e-07
4096,4096,6,1,64,2,2,0.074,0.001,2.210339e+11,8.074952e+01,8.912234e-07
4096,4096,6,1,256,2,2,0.074,0.001,1.860459e+11,6.796746e+01,8.912234e-07
4096,4096,6,1,576,2,2,0.074,0.001,1.608018e+11,5.874513e+01,8.912234e-07
4096,4096,6,1,1024,2,2,0.074,0.002,1.225738e+11,4.477943e+01,8.912234e-07
4096,4096,8,1,64,2,2,0.062,0.001,3.010470e+11,6.969469e+01,8.880090e-07
4096,4096,8,1,256,2,2,0.062,0.001,2.405564e+11,5.569065e+01,8.880090e-07
4096,4096,8,1,576,2,2,0.062,0.001,2.117582e+11,4.902365e+01,8.880090e-07
4096,4096,8,1,1024,2,2,0.062,0.002,1.620140e+11,3.750749e+01,8.880090e-07
4096,4096,20,1,64,2,2,0.097,0.002,3.814530e+11,5.516506e+01,8.927205e-07
4096,4096,20,1,256,2,2,0.097,0.002,3.833698e+11,5.544226e+01,8.927205e-07
4096,4096,20,1,576,2,2,0.097,0.001,4.881812e+11,7.059990e+01,8.927205e-07
4096,4096,20,1,1024,2,2,0.097,0.002,3.953414e+11,5.717357e+01,8.927205e-07
4096,4096,32,1,64,2,2,0.131,0.002,4.709159e+11,5.758043e+01,8.947326e-07
4096,4096,32,1,256,2,2,0.131,0.002,6.099199e+11,7.457691e+01,8.947326e-07
4096,4096,32,1,576,2,2,0.131,0.002,4.881485e+11,5.968751e+01,8.947326e-07
4096,4096,32,1,1024,2,2,0.131,0.002,6.374444e+11,7.794242e+01,8.947326e-07
8192,8192,3,1,64,2,2,0.249,0.002,1.675982e+11,1.038291e+02,1.254414e-06
8192,8192,3,1,256,2,2,0.249,0.003,1.237618e+11,7.667197e+01,1.254414e-06
8192,8192,3,1,576,2,2,0.249,0.004,1.049522e+11,6.501918e+01,1.254414e-06
8192,8192,3,1,1024,2,2,0.249,0.004,9.394257e+10,5.819857e+01,1.254414e-06
8192,8192,6,1,64,2,2,0.295,0.002,3.369366e+11,1.233812e+02,1.255282e-06
8192,8192,6,1,256,2,2,0.295,0.003,2.458312e+11,9.001977e+01,1.255282e-06
8192,8192,6,1,576,2,2,0.295,0.004,2.101919e+11,7.696920e+01,1.255282e-06
8192,8192,6,1,1024,2,2,0.295,0.004,1.866327e+11,6.834217e+01,1.255282e-06
8192,8192,8,1,64,2,2,0.248,0.002,4.467917e+11,1.032088e+02,1.259074e-06
8192,8192,8,1,256,2,2,0.248,0.003,3.316090e+11,7.660160e+01,1.259074e-06
8192,8192,8,1,576,2,2,0.248,0.004,2.809112e+11,6.489043e+01,1.259074e-06
8192,8192,8,1,1024,2,2,0.248,0.004,2.470075e+11,5.705869e+01,1.259074e-06
8192,8192,20,1,64,2,2,0.388,0.006,4.512947e+11,6.514934e+01,1.258713e-06
8192,8192,20,1,256,2,2,0.388,0.005,4.887988e+11,7.056347e+01,1.258713e-06
8192,8192,20,1,576,2,2,0.388,0.004,6.137002e+11,8.859436e+01,1.258713e-06
8192,8192,20,1,1024,2,2,0.388,0.004,6.130106e+11,8.849481e+01,1.258713e-06
8192,8192,32,1,64,2,2,0.510,0.008,5.394877e+11,6.402546e+01,1.258569e-06
8192,8192,32,1,256,2,2,0.510,0.006,7.753285e+11,9.201464e+01,1.258569e-06
8192,8192,32,1,576,2,2,0.510,0.008,5.620286e+11,6.670058e+01,1.258569e-06
8192,8192,32,1,1024,2,2,0.510,0.004,9.746293e+11,1.156673e+02,1.258569e-06
16384,16384,3,1,64,2,2,0.998,0.009,1.872517e+11,1.160189e+02,1.768317e-06
16384,16384,3,1,256,2,2,0.998,0.012,1.361217e+11,8.433937e+01,1.768317e-06
16384,16384,3,1,576,2,2,0.998,0.015,1.065935e+11,6.604406e+01,1.768317e-06
16384,16384,3,1,1024,2,2,0.998,0.017,9.502806e+10,5.887825e+01,1.768317e-06
16384,16384,6,1,64,2,2,1.179,0.009,3.760534e+11,1.376799e+02,1.778713e-06
16384,16384,6,1,256,2,2,1.179,0.012,2.734604e+11,1.001188e+02,1.778713e-06
16384,16384,6,1,576,2,2,1.179,0.015,2.137821e+11,7.826945e+01,1.778713e-06
16384,16384,6,1,1024,2,2,1.179,0.017,1.886208e+11,6.905746e+01,1.778713e-06
16384,16384,8,1,64,2,2,0.992,0.009,4.999385e+11,1.154523e+02,1.771734e-06
16384,16384,8,1,256,2,2,0.992,0.012,3.658591e+11,8.448897e+01,1.771734e-06
16384,16384,8,1,576,2,2,0.992,0.015,2.857522e+11,6.598964e+01,1.771734e-06
16384,16384,8,1,1024,2,2,0.992,0.017,2.511683e+11,5.800307e+01,1.771734e-06
16384,16384,20,1,64,2,2,1.517,0.025,4.333721e+11,6.124519e+01,1.775404e-06
16384,16384,20,1,256,2,2,1.517,0.022,4.784532e+11,6.761616e+01,1.775404e-06
16384,16384,20,1,576,2,2,1.517,0.017,6.211961e+11,8.778893e+01,1.775404e-06
16384,16384,20,1,1024,2,2,1.517,0.017,6.149432e+11,8.690526e+01,1.775404e-06
16384,16384,32,1,64,2,2,2.102,0.033,5.265149e+11,6.441725e+01,1.776930e-06
16384,16384,32,1,256,2,2,2.102,0.022,7.656408e+11,9.367346e+01,1.776930e-06
16384,16384,32,1,576,2,2,2.102,0.030,5.800188e+11,7.096326e+01,1.776930e-06
16384,16384,32,1,1024,2,2,2.102,0.017,9.828178e+11,1.202443e+02,1.776930e-06
1024,1024,3,2,64,2,2,0.004,0.000,1.335164e+10,8.273514e+00,4.596672e-07
1024,1024,3,2,256,2,2,0.004,0.000,1.432773e+10,8.878361e+00,4.596672e-07
1024,1024,3,2,576,2,2,0.004,0.000,1.334229e+10,8.267724e+00,4.596672e-07
1024,1024,3,2,1024,2,2,0.004,0.000,1.289220e+10,7.988816e+00,4.596672e-07
1024,1024,6,2,64,2,2,0.005,0.000,2.899104e+10,1.186489e+01,4.603775e-07
1024,1024,6,2,256,2,2,0.005,0.000,2.989326e+10,1.223413e+01,4.603775e-07
1024,1024,6,2,576,2,2,0.005,0.000,2.668691e+10,1.092190e+01,4.603775e-07
1024,1024,6,2,1024,2,2,0.005,0.001,2.487522e+10,1.018044e+01,4.603775e-07
1024,1024,8,2,64,2,2,0.004,0.000,3.545560e+10,8.366654e+00,4.645238e-07
1024,1024,8,2,256,2,2,0.004,0.000,3.652472e+10,8.618940e+00,4.645238e-07
1024,1024,8,2,576,2,2,0.004,0.000,3.417732e+10,8.065010e+00,4.645238e-07
1024,1024,8,2,1024,2,2,0.004,0.001,3.082794e+10,7.274637e+00,4.645238e-07
1024,1024,20,2,64,2,2,0.006,0.000,9.037652e+10,1.329255e+01,4.517941e-07
1024,1024,20,2,256,2,2,0.006,0.000,9.059328e+10,1.332443e+01,4.517941e-07
1024,1024,20,2,576,2,2,0.006,0.000,8.869986e+10,1.304594e+01,4.517941e-07
1024,1024,20,2,1024,2,2,0.006,0.001,7.964958e+10,1.171483e+01,4.517941e-07
1024,1024,32,2,64,2,2,0.008,0.000,1.371955e+11,1.675359e+01,4.562109e-07
1024,1024,32,2,256,2,2,0.008,0.000,1.446534e+11,1.766431e+01,4.562109e-07
1024,1024,32,2,576,2,2,0.008,0.000,1.361385e+11,1.662451e+01,4.562109e-07
1024,1024,32,2,1024,2,2,0.008,0.001,1.229641e+11,1.501573e+01,4.562109e-07
2048,2048,3,2,64,2,2,0.016,0.001,4.362066e+10,2.697711e+01,6.374970e-07
2048,2048,3,2,256,2,2,0.016,0.001,4.215659e+10,2.607166e+01,6.374970e-07
2048,2048,3,2,576,2,2,0.016,0.001,4.050121e+10,2.504789e+01,6.374970e-07
2048,2048,3,2,1024,2,2,0.016,0.001,3.454719e+10,2.136564e+01,6.374970e-07
2048,2048,6,2,64,2,2,0.018,0.001,8.424062e+10,3.092962e+01,6.368273e-07
2048,2048,6,2,256,2,2,0.018,0.001,8.421018e+10,3.091844e+01,6.368273e-07
2048,2048,6,2,576,2,2,0.018,0.001,8.087596e+10,2.969426e+01,6.368273e-07
2048,2048,6,2,1024,2,2,0.018,0.001,6.907484e+10,2.536138e+01,6.368273e-07
2048,2048,8,2,64,2,2,0.016,0.001,1.121228e+11,2.597666e+01,6.428184e-07
2048,2048,8,2,256,2,2,0.016,0.001,1.121933e+11,2.599300e+01,6.428184e-07
2048,2048,8,2,576,2,2,0.016,0.001,1.111561e+11,2.575270e+01,6.428184e-07
2048,2048,8,2,1024,2,2,0.016,0.001,9.210639e+10,2.133925e+01,6.428184e-07
2048,2048,20,2,64,2,2,0.024,0.001,2.511468e+11,3.521606e+01,6.365835e-07
2048,2048,20,2,256,2,2,0.024,0.001,2.432904e+11,3.411443e+01,6.365835e-07
2048,2048,20,2,576,2,2,0.024,0.001,2.695542e+11,3.779718e+01,6.365835e-07
2048,2048,20,2,1024,2,2,0.024,0.001,2.300619e+11,3.225952e+01,6.365835e-07
2048,2048,32,2,64,2,2,0.033,0.001,3.462256e+11,4.243902e+01,6.351926e-07
2048,2048,32,2,256,2,2,0.033,0.001,3.992623e+11,4.894005e+01,6.351926e-07
2048,2048,32,2,576,2,2,0.033,0.001,3.112236e+11,3.814861e+01,6.351926e-07
2048,2048,32,2,1024,2,2,0.033,0.001,3.771813e+11,4.623345e+01,6.351926e-07
4096,4096,3,2,64,2,2,0.062,0.001,1.061724e+11,6.564121e+01,8.877693e-07
4096,4096,3,2,256,2,2,0.062,0.001,1.003248e+11,6.202591e+01,8.877693e-07
4096,4096,3,2,576,2,2,0.062,0.001,7.477061e+10,4.622702e+01,8.877693e-07
4096,4096,3,2,1024,2,2,0.062,0.002,5.768019e+10,3.566085e+01,8.877693e-07
4096,4096,6,2,64,2,2,0.074,0.001,2.326571e+11,8.499356e+01,8.912234e-07
4096,4096,6,2,256,2,2,0.074,0.001,2.006334e+11,7.329476e+01,8.912234e-07
4096,4096,6,2,576,2,2,0.074,0.001,1.494301e+11,5.458931e+01,8.912234e-07
4096,4096,6,2,1024,2,2,0.074,0.002,1.139870e+11,4.164138e+01,8.912234e-07
4096,4096,8,2,64,2,2,0.060,0.001,3.036097e+11,6.740506e+01,8.880090e-07
4096,4096,8,2,256,2,2,0.060,0.001,2.677118e+11,5.943527e+01,8.880090e-07
4096,4096,8,2,576,2,2,0.060,0.001,1.992518e+11,4.423632e+01,8.880090e-07
4096,4096,8,2,1024,2,2,0.060,0.002,1.519749e+11,3.374027e+01,8.880090e-07
4096,4096,20,2,64,2,2,0.094,0.001,4.712176e+11,6.592796e+01,8.927205e-07
4096,4096,20,2,256,2,2,0.094,0.002,4.445545e+11,6.219752e+01,8.927205e-07
4096,4096,20,2,576,2,2,0.094,0.001,4.978204e+11,6.964995e+01,8.927205e-07
4096,4096,20,2,1024,2,2,0.094,0.002,3.792767e+11,5.306453e+01,8.927205e-07
4096,4096,32,2,64,2,2,0.132,0.002,5.740185e+11,7.043361e+01,8.947326e-07
4096,4096,32,2,256,2,2,0.132,0.002,6.979860e+11,8.564474e+01,8.947326e-07
4096,4096,32,2,576,2,2,0.132,0.002,4.647913e+11,5.703114e+01,8.947326e-07
4096,4096,32,2,1024,2,2,0.132,0.002,6.109599e+11,7.496641e+01,8.947326e-07
8192,8192,3,2,64,2,2,0.238,0.002,2.108937e+11,1.248871e+02,1.254414e-06
8192,8192,3,2,256,2,2,0.238,0.003,1.500899e+11,8.888026e+01,1.254414e-06
8192,8192,3,2,576,2,2,0.238,0.004,9.565816e+10,5.664685e+01,1.254414e-06
8192,8192,3,2,1024,2,2,0.238,0.005,8.827892e+10,5.227701e+01,1.254414e-06
8192,8192,6,2,64,2,2,0.280,0.002,4.195323e+11,1.456791e+02,1.255282e-06
8192,8192,6,2,256,2,2,0.280,0.003,2.996295e+11,1.040438e+02,1.255282e-06
8192,8192,6,2,576,2,2,0.280,0.004,1.912827e+11,6.642132e+01,1.255282e-06
8192,8192,6,2,1024,2,2,0.280,0.005,1.765232e+11,6.129620e+01,1.255282e-06
8192,8192,8,2,64,2,2,0.248,0.002,5.585278e+11,1.290417e+02,1.259074e-06
8192,8192,8,2,256,2,2,0.248,0.003,3.990461e+11,9.219522e+01,1.259074e-06
8192,8192,8,2,576,2,2,0.248,0.004,2.549904e+11,5.891274e+01,1.259074e-06
8192,8192,8,2,1024,2,2,0.248,0.005,2.353059e+11,5.436484e+01,1.259074e-06
8192,8192,20,2,64,2,2,0.388,0.004,6.125779e+11,8.865055e+01,1.258713e-06
8192,8192,20,2,256,2,2,0.388,0.004,6.036178e+11,8.735388e+01,1.258713e-06
8192,8192,20,2,576,2,2,0.388,0.004,6.394782e+11,9.254349e+01,1.258713e-06
8192,8192,20,2,1024,2,2,0.388,0.005,5.878809e+11,8.507647e+01,1.258713e-06
8192,8192,32,2,64,2,2,0.531,0.006,6.956180e+11,8.605669e+01,1.258569e-06
8192,8192,32,2,256,2,2,0.531,0.004,9.563320e+11,1.183103e+02,1.258569e-06
8192,8192,32,2,576,2,2,0.531,0.008,5.356870e+11,6.627121e+01,1.258569e-06
8192,8192,32,2,1024,2,2,0.531,0.005,9.376147e+11,1.159947e+02,1.258569e-06
16384,16384,3,2,64,2,2,0.996,0.008,2.026307e+11,1.252807e+02,1.768317e-06
16384,16384,3,2,256,2,2,0.996,0.010,1.673748e+11,1.034830e+02,1.768317e-06
16384,16384,3,2,576,2,2,0.996,0.016,9.834576e+10,6.080433e+01,1.768317e-06
16384,16384,3,2,1024,2,2,0.996,0.019,8.663227e+10,5.356222e+01,1.768317e-06
16384,16384,6,2,64,2,2,1.180,0.008,4.036421e+11,1.478267e+02,1.778713e-06
16384,16384,6,2,256,2,2,1.180,0.010,3.317369e+11,1.214927e+02,1.778713e-06
16384,16384,6,2,576,2,2,1.180,0.016,1.966290e+11,7.201186e+01,1.778713e-06
16384,16384,6,2,1024,2,2,1.180,0.019,1.731864e+11,6.342642e+01,1.778713e-06
16384,16384,8,2,64,2,2,0.992,0.008,5.395123e+11,1.245501e+02,1.771734e-06
16384,16384,8,2,256,2,2,0.992,0.010,4.463949e+11,1.030533e+02,1.771734e-06
16384,16384,8,2,576,2,2,0.992,0.016,2.622408e+11,6.054008e+01,1.771734e-06
16384,16384,8,2,1024,2,2,0.992,0.019,2.311767e+11,5.336873e+01,1.771734e-06
16384,16384,20,2,64,2,2,1.562,0.017,6.283403e+11,9.138445e+01,1.775404e-06
16384,16384,20,2,256,2,2,1.562,0.017,6.250414e+11,9.090467e+01,1.775404e-06
16384,16384,20,2,576,2,2,1.562,0.016,6.551923e+11,9.528975e+01,1.775404e-06
16384,16384,20,2,1024,2,2,1.562,0.019,5.780176e+11,8.406563e+01,1.775404e-06
16384,16384,32,2,64,2,2,2.108,0.025,6.985274e+11,8.570399e+01,1.776930e-06
16384,16384,32,2,256,2,2,2.108,0.017,9.926447e+11,1.217899e+02,1.776930e-06
16384,16384,32,2,576,2,2,2.108,0.031,5.518440e+11,6.770706e+01,1.776930e-06
16384,16384,32,2,1024,2,2,2.108,0.019,9.193869e+11,1.128018e+02,1.776930e-06
1024,1024,3,3,64,2,2,0.004,0.001,8.912757e+09,5.513579e+00,4.596672e-07
1024,1024,3,3,256,2,2,0.004,0.001,6.994518e+09,4.326925e+00,4.596672e-07
1024,1024,3,3,576,2,2,0.004,0.001,4.605281e+09,2.848904e+00,4.596672e-07
1024,1024,3,3,1024,2,2,0.004,0.001,4.599650e+09,2.845420e+00,4.596672e-07
1024,1024,6,3,64,2,2,0.005,0.001,1.374801e+10,5.032791e+00,4.603775e-07
1024,1024,6,3,256,2,2,0.005,0.001,1.088753e+10,3.985643e+00,4.603775e-07
1024,1024,6,3,576,2,2,0.005,0.002,7.186038e+09,2.630623e+00,4.603775e-07
1024,1024,6,3,1024,2,2,0.005,0.002,7.197210e+09,2.634712e+00,4.603775e-07
1024,1024,8,3,64,2,2,0.004,0.001,1.778309e+10,4.120145e+00,4.645238e-07
1024,1024,8,3,256,2,2,0.004,0.001,1.425063e+10,3.301713e+00,4.645238e-07
1024,1024,8,3,576,2,2,0.004,0.002,8.681929e+09,2.011507e+00,4.645238e-07
1024,1024,8,3,1024,2,2,0.004,0.002,8.587421e+09,1.989610e+00,4.645238e-07
1024,1024,20,3,64,2,2,0.010,0.002,2.380821e+10,5.437193e+00,4.517941e-07
1024,1024,20,3,256,2,2,0.010,0.002,1.978568e+10,4.518547e+00,4.517941e-07
1024,1024,20,3,576,2,2,0.010,0.003,1.225902e+10,2.799650e+00,4.517941e-07
1024,1024,20,3,1024,2,2,0.010,0.003,1.225403e+10,2.798509e+00,4.517941e-07
1024,1024,32,3,64,2,2,0.008,0.003,2.575079e+10,3.140025e+00,4.562109e-07
1024,1024,32,3,256,2,2,0.008,0.003,2.106826e+10,2.569043e+00,4.562109e-07
1024,1024,32,3,576,2,2,0.008,0.005,1.391783e+10,1.697127e+00,4.562109e-07
1024,1024,32,3,1024,2,2,0.008,0.005,1.399745e+10,1.706835e+00,4.562109e-07
2048,2048,3,3,64,2,2,0.016,0.001,2.389752e+10,1.478990e+01,6.374970e-07
2048,2048,3,3,256,2,2,0.016,0.001,1.757799e+10,1.087882e+01,6.374970e-07
2048,2048,3,3,576,2,2,0.016,0.003,9.146975e+09,5.660957e+00,6.374970e-07
2048,2048,3,3,1024,2,2,0.016,0.005,5.048107e+09,3.124215e+00,6.374970e-07
2048,2048,6,3,64,2,2,0.018,0.002,3.293845e+10,1.204128e+01,6.368273e-07
2048,2048,6,3,256,2,2,0.018,0.002,2.443522e+10,8.932759e+00,6.368273e-07
2048,2048,6,3,576,2,2,0.018,0.004,1.422736e+10,5.201082e+00,6.368273e-07
2048,2048,6,3,1024,2,2,0.018,0.006,7.776241e+09,2.842753e+00,6.368273e-07
2048,2048,8,3,64,2,2,0.016,0.002,4.128016e+10,9.568939e+00,6.428184e-07
2048,2048,8,3,256,2,2,0.016,0.002,3.257851e+10,7.551855e+00,6.428184e-07
2048,2048,8,3,576,2,2,0.016,0.004,1.710426e+10,3.964850e+00,6.428184e-07
2048,2048,8,3,1024,2,2,0.016,0.007,9.410233e+09,2.181337e+00,6.428184e-07
2048,2048,20,3,64,2,2,0.024,0.003,5.325895e+10,7.721813e+00,6.365835e-07
2048,2048,20,3,256,2,2,0.024,0.004,4.176738e+10,6.055694e+00,6.365835e-07
2048,2048,20,3,576,2,2,0.024,0.007,2.376458e+10,3.445536e+00,6.365835e-07
2048,2048,20,3,1024,2,2,0.024,0.013,1.304052e+10,1.890696e+00,6.365835e-07
2048,2048,32,3,64,2,2,0.033,0.005,5.758769e+10,7.023995e+00,6.351926e-07
2048,2048,32,3,256,2,2,0.033,0.006,4.327212e+10,5.277919e+00,6.351926e-07
2048,2048,32,3,576,2,2,0.033,0.011,2.539897e+10,3.097924e+00,6.351926e-07
